antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'soda', 'sausage', 'whole milk'})",frozenset({'rolls/buns'}),0.04002052334530529,0.3496664956387891,0.02103642893791688,0.5256410256410255,1.5032639163233439,1.0,0.007042592786133631,1.370973333518228,0.3487374692025915,0.05706332637439109,0.27059121023618055,0.2929012171491995
"frozenset({'yogurt', 'bottled water', 'other vegetables'})",frozenset({'whole milk'}),0.0323242688558235,0.4581836839404823,0.022062596203181118,0.6825396825396826,1.489663876002062,1.0,0.007252143618137308,1.706721395587481,0.33968778514883224,0.04709748083242059,0.41408128908128905,0.36534598908619065
"frozenset({'other vegetables', 'sausage', 'whole milk'})",frozenset({'rolls/buns'}),0.050282195997947664,0.3496664956387891,0.02616726526423807,0.5204081632653061,1.488298620989115,1.0,0.008585265996612964,1.3560145410084823,0.34546244213514693,0.07000686341798217,0.2625447812261,0.29762154311467803
"frozenset({'root vegetables', 'newspapers'})",frozenset({'rolls/buns'}),0.03873781426372499,0.3496664956387891,0.020010261672652643,0.5165562913907285,1.4772827761122962,1.0,0.006464945910349627,1.3452103994320936,0.3361013597202549,0.05431754874651811,0.25662186344814975,0.2868914985933833
"frozenset({'soda', 'bottled water', 'whole milk'})",frozenset({'other vegetables'}),0.04002052334530529,0.3766033863519754,0.022062596203181118,0.5512820512820512,1.4638265912107873,1.0,0.006990731587760861,1.389283881844169,0.3300684871912793,0.05591677503250975,0.2802047061306319,0.3049325787745406
frozenset({'cat food'}),frozenset({'other vegetables'}),0.04386865059004618,0.3766033863519754,0.024114930733709596,0.5497076023391813,1.4596459359115317,1.0,0.0075938483668066235,1.3844262458936651,0.32935051293322454,0.060841423948220064,0.2776791086082833,0.3068701499434326
"frozenset({'yogurt', 'bottled water', 'whole milk'})",frozenset({'other vegetables'}),0.04027706516162134,0.3766033863519754,0.022062596203181118,0.5477707006369427,1.454502854961037,1.0,0.0068941170709953484,1.3784967372216883,0.32559382828866806,0.05588044184535413,0.2745720950958035,0.30317690345198633
"frozenset({'yogurt', 'sausage', 'whole milk'})",frozenset({'rolls/buns'}),0.044894817855310416,0.3496664956387891,0.022832221652129298,0.5085714285714286,1.4544471229430878,1.0,0.007134008020321169,1.3233530612001383,0.3271404298213053,0.061421670117322295,0.2443437588052973,0.2869342836180694
"frozenset({'UHT-milk', 'whole milk'})",frozenset({'other vegetables'}),0.040533606977937404,0.3766033863519754,0.022062596203181118,0.5443037974683544,1.445297140689132,1.0,0.006797502554229833,1.3680092355053874,0.32111677652033327,0.05584415584415584,0.26901078293483355,0.3014434518676922
"frozenset({'shopping bags', 'bottled beer'})",frozenset({'whole milk'}),0.030271934325295024,0.4581836839404823,0.020010261672652643,0.6610169491525424,1.4426898475904872,1.0,0.006140155283484631,1.5983581323755773,0.31642924976258313,0.04271631982475356,0.3743579866461222,0.35234498073528575
